Komentar,Label
produk baru sampai sudah tidak bisa digunakan. Sampai saya telpon servis center philips ,0
sangat jelek dsn membosankan,0
produk tidak sesuai degan diskripsi dan gambar,0
Baru dipakai sehari langsung mati ! Not recommended ! ,0
Barang rusak Pipa pecah seperti di gambar Di chat tidak ada respon penjua,0
"Nyesel beli dikasih barang rusak, respon lambat udah malas retur",0
"Barang tidak lengkap, Penjual tidak respon, akun aktif tapi tidak ada jawaban(sudah 2hr di tunggu responnya tapi nihil). Barang tidak bisa di pakai.",0
Barang rusak. Komplen nya pun lama respon,0
"Hati2 dengan penjual ini. Barang rusak dikirim tidak dicek satu per satu seperti dikatakan bahkan ada yang pecah beling nya di dalam botol bahaya sekali (pecah bukan dr pengiriman) , janji mau ditukar barang tidak ditepati janjinya, proses penyelesaian masalah dan pengembalian uang sangat panjang dan tidak ditanggapi serius oleh penjual, malah merugikan pembeli dr segi waktu. Jawaban yang diberikan penjual asal-asalan dan seakan-akan mengulur-ulur waktu. Tidak komunikatif dan responsif dalam menyelesaikan masalah. Sangat tidak rekomen untuk bertransaksi dengan penjual ini. Tokopedia mohon lebih selektif dalam memilih mitra penjual serta sistem pengaduan lebih memudahkan untuk konsumen. Untuk konsumen, bilamana mendapat penjual seperti ini tetap semangat dan sabar dalam proses panjang mendapatkan kembali hak nya. Jangan lupa packaging divideokan sebelum dibuka dan tidak langsung dibuang karena tokopedia akan meminta bukti tersebut.",0
Tidak sesuai order. Not rekomended,0
Bener-bener kecewa. Di kasih produk yg mati total. Akhirnya ga bisa di pake sama skali,0
Kecewa.. barang tidak berfungsi..seller tidak memberi solusii.,0
"Harga murah = pelayanan minimal Bagi para konsumen harap sangat detail saat order, terutama perihal pilihan warna harus ditegaskan setegas-tegasnya kepada penjual, jika perlu dipastikan terlebih dahulu berulang-ulang, karena penjual kurang bertanggung jawab dan sering menyepelekan pilihan warna yang sudah dipesan. ",0
"Kesalahan adalah pas Barang diterima kemarin gak langsung dicoba, pas pagi ini mau coba jus ternyata mesinya bener bener mati total.. Udh dicoba berkali kali mash gak nyala jg. Gak bs di retur karna saya salah udh konfirmasi barang diterima. Hiks jd beli botol doang deh 2 mesin nya gak bs dipake",0
"mohon maaf sebelumnya saya berikan ulasan sejujurnya karena sebelumnya saya sudah pernah membeli produk sejenis ini 2x di toko lain dan sy coba di toko ini agak mengecewakan, barang lama sampainya, pengemasan nya kurang rapi, kerdus blender sudah penyok2, barang kotor penuh debu dan tidak mulus banyak goresan2 seperti barang second, mesin kurang maksimal , seharusnya jika di tekan terus tombol on nya blender akan nyala terus tapi ini sering mati dan harus di tekan berulang ulang. ",0
"SANGAT TIDAK REKOMEN. BELI 2, YANG 1 RUSAK SEJAK AWAL. YANG SATU LAGI BARU SEKALI PAKAI SUDAH RUSAK. PENJUAL NYA JUGA NGGA MAU GANTI. BILANGNYA UDAH DICEK SEBELUM KIRIM TAPI BARU DICOBA, YANG SATU BARU DICOLOK BELUM DITEKAN SWITCH NYA UDAH MUTER DULUAN. YANG SATU LAGI BENER, TAPI BARU DIPAKAI SEKALI LANGSUNG RUSAK.",0
"Barang diterima dalam keadaan rusak, mesin blender patah dan tidak berfungsi",0
Baru dipake sekali aja udah keluar asap,0
Respon cepat.. tp barang tidak bagus baru pake sekali sudah rusak minta d retur tida bisa pdhal bru 1x pake ,0
"Barang ada yang karetnya cacat, mau dijual lagi ga bisa.Mengecewakan.Harusnya sblm pengiriman diteliti apa layak jual atau tidak.",0
"Tidak puas, barang datang tidak sesuai pesanan...ya sudahlah..",0
udah minta di cancel dengan kirim pesan berkali2 gak ada responnya. payah,0
"Barang yang di order tidak di kirimkan, sudah di complain tapi tidak ada respon balik",0
ni saya tanya kok ga dibalas balas ya? kenapa powerbank nya suka mati nyala waktu charge hp? dan kadang malah ga nyala sama sekali...,0
barang yg di kirim barang rusak dan serta di minta retur penjual sialan gak mau di retur anjirr kampret... nyesel beli di sini barang xtra buruk padahal sudah di tulis di keterangan di periksa dulu kampret !!!!,0
baru beli....layar udah retak...kualitas jelek..minta warna putih dikirim grey....jelek,0
jangan pernah belanja disini barang rekondisi dia kirim jelekk bangetttt hape gak mau nyala. batre + cover belakang pada lecet batre bukan batre asli padahal masih segel. yg lebih sakit lagi direfud kembali uang cuma seharga hp aja padahal toped kembali full dia yg makan ongkir kita. alasan gak bisa full padahal toped bayar full,0
"bukan 100% HP baru, tapi refublish dan dari kotak bisa dilihat kalau bukan asli, casing juha bukan asli. Intinya hape rekondisi",0
"Barang rusak yg di kasih, tidak berfungsi... Hidupin sebentar langsung mati... Padahal sudah di charger berjam-jam",0
Di kirim barang rusak. Rugi beli di sini. Penjualnya sombong,0
"Fungsi tidak sesuai dengan yang divideo, untuk pasang hp di mobil mudah lepas, hp sering jatuh",0
"ada cacat produk , ada besi gak tertutup karet, cacat produksi ?",0
"tidak bs dipakai sama sekali, ngak sesuai dengan iklan",0
"Barang di terima dalam keadaan rusak (patah), di komplain tdk ada respon baik, klo brg memang gampang patah seharusnya di wajibkan menggunakan asuransi dan packing kayu walaupun nanti harga ongkir besar, tinggal pembeli yg mutusin mau beli atau tidak drpda mau jualan dan di terima barang bermasalah...pengirimannya juga lama sekali...sdh lama barang di terima rusak....",0
Kualitas rendah. Semacam kardus,0
"Produk tidak berkerja (rusak) ,sudah produknya rusak sellernya tidak bertanggung jawab ,pokoknya kecewa banget sama pelayanan sellernya mending beli di toko yang lain ",0
Produk yang tiba di saya tidak lengkap. ada unit yang kurang. padahal saya mesan 2 pcs loh.,0
gk ada bonusnya sama sekali,0
"Gambar meyakinkan mungkin karena editan kenyataan menyakitkan barang norak jelek banget kecewa dan gue,",0
"Barang gak sesuai gambarnya, jelek aslinya dari pd gambarnya",0
Respon order sangat lambat dan mengakibatkan lama nya estimasi kedatangan barang,0
Barang tidak sesuai foto payah banget model nya yang seharusnya 2 pasang hanya dikirim satu pasang saya merasa ditipu beli disini penjualnya pun tidak ada respon dan tidak bertangung jawab,0
Barang yang dikirim kurang Mestinya 2 pasang to cm dikirim sepasang Dan penampilan sandalnya payah banget ga seperti di foto Kecewa dah pokoknya Banget,0
Barang tidak sesuai pesanan ga amanah kecewa bgt byk noda juga kyk habis dipakai untuk lap,0
mohon maaf harusnya pihak penjual bisa respon dong kalau ada kendala  baru aja pemakaian sehari kok dah gak bisa,0
Harga murah kualitas juga murahan,0
Sepertin barang bekas banyak lecetnya,0
ga sesuai kapok belanja disini,0
Barang sampe blm di tes lupa lgsg ngasih ratting pas di tes barang ga berfungsi ga bisa baca sd card sungguh terlalu,0
Tidak sesuai pesanan tidak berfungsi,0
Barang rusak tidak bisa digunakan,0
Barangnya lama sampai Sudah hampir 1 minggu blm tiba,0
Barang seng mati sendiri Segel terbuka,0
Barang tidak sesuai pesanan Seperti barang seken Saya kecewa sangatlah,0
BARANGNYA RUSAK,0
Barangya gopel sedikit kurang puas di deket kaca,0
Gak sesuai ekspektasi pemgiriman lama,0
Tidak sesuai foto dan diskripsi datang sudah cacat,0
Gambar boleh realnya palsu buat permainannya,0
Dikira yang gede taunya yang kecil kecewa banget,0
Jangan beli barang kayak gini barang palsu GK fungsi apa,0
kapok nunggu barangnya berminggu minggu,0
Well gw kayak dah mesen barang ini seabad yang lalu dan baru nyampe wadaw pertama dari penjual respon lama pesenannya terus dari J&T itu the worst shipment ever Udah gitu packingnya pakai plastik diuntel untel doang ya tau sih murah tapi Yasudahlah untung gw pake promo,0
Barang sangat KW mgkn krn murah,0
Q belum nerima barang kok sudah selesai?? Di resi masih tanggal 27nov...,0
Kecewa jelek banget ,0
Ada yang lecet.,0
Pelayanan nya nggak banget.Trus sepatuny bau lem menyengat.Gw batalin orderan sm dia di tolak pdhl udh cht via wa katanya iya bakal di acc. Tau nya di tolak dn ttep di krm. Ini klo bsa mah ga gw kasi bintang. Sumpah seller nya ga bsa jjur ih. Bru kali ini gw nemu seller kaya gini.ga lagi blnja d sni,0
Pembayaran ku tunai tapi keterangan kok bulanan gimana sih,0
"Sesuai dengan harga.. Harga murah ,barang murahan",1
Ada harga ada kualitas Baru seminggu sudah rusak,1
barang rusak kok dikirim. laen kali cek dulu,1
"Produk original, tapi respon penjual sangat buruk malah tidak di respon. pengiriman sangat lama padahal pakai go instan",1
Hp nya ori tp gk ada nota sama claim garansi,1
"Barang bagus tp pngiriman lambat,,packing nya cm pke dus ga aman klo kena hujan dan hp d dalam nya ga ngeas sm dus packing nya jd goyang"" klo d jln.untyk next time lbh d perhatiin lg aja cra pengiriman nya ya bosss",1
"Ori semua, cuma ya responnya nggak banget ?? dichat gak bales sama sekali pengemasannya lamaaaaaaaa",1
"Kok ga dapet softcase nya ya????ky nya pelayanan nya harus di perbaiki,chat ga pernah di bales",1
Admin tahu sendiri lah knapa dikasih rate satu bintang,1
Lain kali lebih teliti kak,1
Warna ga sesuai sama keinginan dan contoh,1
"di lapak sebelah lebih murah banyak, rugi saya",1
Warna tidak sesuai gambar,1
"Barang yg dikirim rusak, mau dikembalikan ribet banget, dikasih nomer tlp gak diangakat2... asli sangat kecewa bangetttttt",1
"barang diterima dengan baik, tetapi kualitas nya tidak sesuai dengan perkiraan saya",1
"Barang ringkih, hati hati penggunaannya, barang mudah rusak pada sambungan ke antena",1
kurang bagus gak sesuai nama dan foto,1
barang sesuai dan packing kurang memuaskan barangnya rusak,1
Sepertinya ga dicek sebelum dikirim,1
kualitas barang kurang memuaskan,1
"Maaf terpaksa saya kasih bintang kecil, karna barangnya tdk sampai di saya. Anyway, terimakasih atas kerjasama nya :)",1
"Penjual kurang teliti,Salah tulis alamat. Padahal ada dua barang yg pada saat itu bersamaan tp sampai dg tepat. Seharusnya tiba tgl 5 jd molor 10hr.... So..kecewa",1
"mau beri ulasan pengalaman belanja di toko ini. pengiriman overall cepat tapi pelayanan mengecewakan, penjual tidak mau bertanggung jawab jika barang yang dijual cacat produksi atau tidak layak pakai",1
"Customer udah beli dan bayar pagi hari dan pengiriman pakai gojek sehari sampai, tetapi barang nya dikirim besok nya.... Secara tarif ongkir beda dan customer yg dirugikan. ",1
Ini bodoh apa tolol ya. Saya complain barang sudah dibayar tapi SAMPAI DETIK INI BELUM DIKIRIM KIRIM,1
"Seller tidak kooperatif. Mengajukan pembatalan tetapi tetap diproses seller. Padahal mau ganti dan tambah beberapa barang. Syukurnya tidak jadi karena seller tidak kooperatif jadi bisa beli di tempat lain yg pelayanannya lebih baik. Btw, barangnya sendiri kurang bagus.",1
PARAH!!!! BELI 4 DIKIRIM 3 UDA GITU DIKOMPLAIN NGGA RESPON.. HATI2 KALAU BELI!! BUKA PACKING DI VIDEO YA CALON PEMBELI..,1
Komunikasi adaminya kurang bersahabat,1
"barang bagus, cuman penjual tifak jujur dalam hal pengiriman, saya menggunakan yes, eh malah dikirim dengan reguler.",1
"Sengaja baru kasih ulasan ternyata produk mengecewakan, masa batrei dr 16% dicolok carger langsung ke 33% , udh gitu gak sampe seharian udh abis, mana yg di jual gak sesuai gambar lagi agan jual batrei bocor??",1
Jgn percaya dgn iklannya. kapasitas baterai tidak sesuai dngan yang ditampilkan. cuma 1560 mAh. baterai kapasitas segitu harganya di toko lain cuma separuh. jangan mau beli di toko ini.,1
"Sangan mengecewakan barang tidak sesuai deskripsi, deskripsi dan penjual mengatakan original 100%, di gambar sangat meyakinkan batre ada logo apple dan tertulis apple japan tapi barang yg saya terima barang china dan saya tertipu dengan toko ini Saya saranin jualan apa adanya saja gan biar ngga banyak yg tertipu Kalau begini jadinya untuk kasih bintang 1 aja berat apa lagi bintang 5 ngga banget buat saya Tq!",1
"Barang diterima dalam kondisi baik sesuai gambar. Tidak banyak yg bisa diharapkan dari kualitas baterai cadangan. Setelah penggunaan selama 3 bulan, baterai sudah kondisi kembung sehingga iphone tidak lagi digunakan.",1
"Mau di retur ga ada waktu, jd ikhlasin aja lah, di nyalain ga nyala, bukan barang baru tp bekas yg di buat kaya baru, engga rekomen banget, jangan beli di sini, siapa tau giliran kalian yanh dapet barang jelek kaya saya, KECEWA",1
"Harganya yg bikin sedih, jauh lbh tinggi dari toko sebelah",1
barang nyampenya pecahh... tp okee la masih bisa dipake. yg penting kegunaannya.,1
"Barangnya sh ok tapi yg disayangin pesennya warna item kok datangnya warna putih kurang teliti, tpi gk pp sh ",1
Pengiriman sedikit lambat. Masalah packing ok. Semoga hpnya ga ada masalah. Terimakasih. ,1
Sesuai dengan pesanan cuma pengiriman agak telat,1
barang kliatan bagus. tp sayang gk ada garansi resmi.,1
"Barang bagus sih, tp barang yg datang tidak sesuai dengan list yg saya beli, pada kecewa temen2 saya. Tp makasih yaa",1
"Cukup baik kualitas product nya, namun untuk Saran kedepannya jika ada ketidaksesuaian dgn janji (warna&gambar) barang yg akan di kirim, mohon diinfokan ke customer agar tdk ada rasa kekecewaan karena beda dgn gambaran, terima kasih",1
Barang ok tpi sdikit kcewa pegiriman agak lambat,1
Proses pengiriman sangat lama.....ntah dari penjual yang barangnya ternyata dari luar kota/negeri karena kata JNE nunggu di bandara lama....atau kesalahan pihak JNE....packing tidak aman..dus pompa penyok2 dan robek2... Semoga ke depannya bisa diperbaiki lagi,1
"Barang sepertinya ok, hanya sayang barang rawan rusak packingan kurang aman hanya di buble, tidak di wanti2 dengan stiker fragile spt seller lain.. serta rada kurang nyaman dengan tanggapan seller mengenai keluhan ketika di sampaikan bahwa barang cacat ketika di terima, responya yang hanya suruh klaim ke jne.. ",1
"Produk sudah di cek 20 pcs semua ori ,, thanks ,, tp kecewa dikit sama responnya soal barang lagi 1 nya ,, di diskusi bilang ready pas di pesen udah lama nunggu sampe hampir cancel otomatis baru di info barang ga ada ,,",1
"Barang lumayan, terlabat pengiriman padahal udah pake grabe ,,,,,,,tapi gpp lah walaupun sedikit agak kecewa.",1
Barang berfungsi dengan baik. Dan packing rapi.. Cuma agak sedikit kecewa sama kualitas bahannya aja sih,1
lumayan untuk di pakai,1
"packing bagus, barang aman, bagus & bekerja dengan baik. pengiriman agak lama.",1
Sementara saya kasih bintang 3 karna belum di test tapi kalau sudah di test semua saya kasih bintang 7,1
Kualitas produk standar.tak dapat hadiah,1
"Kualitas produk standar. Harga produk standar. Sayang sekali ga dapat bonus earphone,,, malah di jual flash sale.",1
Kualitas produk standar. Harga produk standar.pengiriman agak lama,1
"Packing rapi, barang yang di kirim tidak sesuai permintaan.",1
Respon penjual baik tapi produk TDK original,1
Lumayan lah walau gk suka sama warnanya,1
Packingan kurang aman,1
Pengirimannya on time.. tp dus packingya jelek.. warna juga gak sesuai.. ,1
Barang bagus..tapi masih ada bau baunya.. Bahan kurang rapih ,1
Barang sudah diterima dengan baik,1
"Bagus, syg packingnya kurang rapi.",1
"Barang cepat kirim dan proses, bagus juga, cuman barang gampang rusak, dalam sehari mouse wheel sudah ada error",1
Barang bagus..cuman pengiriman lama..mungkin karena banyak orderan..tapi over all ok sih..thanks..,1
"Aman dan tepat waktu,produk ya namanya juga tergantung baget lumayan mantaaap",1
Barang sudah tiba. Blm di coba sih. Tapi tidak ada dusnya. Agak mengecewakan.,1
"Barang datang rusak, tapi dibantu untuk penukaran nya. Merepotkan sih, tapi ok lah service nya",1
3 bintang ajah dulu kalo bagus full bintang nanti ,1
"Packing sangat menghawatirkan tolong ditingkatkan lagi, terutama untuk keluar kota. Namun Flash berjalan dengan baik. semoga awet",1
barang bagus tapi cuma pengiriman'a aja yg kurang..,1
"Terima Kasih, Mungkin bisa ditingkatkan lagi di packingnya, bisa ditambahkan bubblewrap supaya tahan goncangan. ",1
"produk sudah diterima dalam keadaan baik, hanya lama sampainya",1
"Sesuai dengan harga,packing kurang aman",1
Model nya sama tapi bahan nya kurang bagus,1
Packing tidak baik sama sekali Tidak ada bubble warp cuma dikasih amplop coklat,1
Tidak sesuai harapan barang seperti bekas tidak ada garansi n panduan,1
Brang memang sesuai keinginan tpi yang ada di catatan konsumen kurang di hiraukan carger ada masalah,1
ternyata barang KW saya pikir barang original sesuai tag toko kecewa deh,1
Zonk banget mentang2 murah barang nya jelek,1
Finising Brgnya kurang maksimal,1
Kondisi barang banyak yang penyok,1
Saya request untuk dicancel karena tidak pakai kode promo tapi tetap diproses oleh pelapak yah sudah lah,1
Kecewa di jasa pengiriman nya saja Saya pilih pake JNE di kirim pake SI CEPAT Alhasil 1 minggu baru sampai,1
Cuman beda jasa pengiriman aja jadi susah buat cek resi,1
Warna pas ..tapi kurang memuaskan,1
produk jelek katanya 10000 mah tapi buat ngecas batre 3050 Mah aja ga penuh,1
"katanya nya sih original, tapi daya tahan ngecharge nya kurang dari 10000mah tidak sesuai ",1
barangnya bagus tapi tidak sampai rumah karena salah penulisan alamat jadi saya harus urus sendiri lain kali lebih teliti dalam menulis alamat terima kasih,1
"secara fungsi bekerja dengan baik. tapi produk yang saya terima kemasannya agak bulukan dan ada sedikit lecet, jadi agak kecewa. nggak worth it dibandingkan dengan harganya",1
Lama banget nyampe nya. 1 bulan lebih. ,1
"Ga original ini, dari teksturnya, baunya, ketahuan bgt ga ori. Halah",1
Aku kira tasnya besar ..ternyata kecil tidak sesuai gambar,1
Kualitas produk baik. Produk original. Harga produk baik. Kecepatan pengiriman sangat tidak baik. Sampai sekarang hadiah pre ordernya gak dikirim2 juga..apakah itu cuma trik aja untuk menarik konsumen lebih banyak lagi??sampai kapan harus menunggu???di chat juga tidak ada respon untuk kejelasannya,1
Tiga bintang yg saya kasih soalnya saya suka sama layanannya dan kurirnya juga ramah dan tolong ditingkatkan lagi barangnya ya mbak ,1
"Bahan tipis banget, klo untuk harga segitu mah itu bkn promo. memang cocok dengan kualitas barangnya. ",1
Kecepatan pngiriman  cepat cman ng cas nya g smpei 50%,1
Kalau d pasang mi band nya susah d lepaskan sehingga bahan pada lepas dan rusak ,1
Bagus lumayan,2
cukup bagus ga jelek banget,2
"sesuai pesanan, barang blm dicoba pasang jd netral dulu",2
D coba duluk kalo bagus saya kasih bintang lagi,2
mayanlahhhhhhh barang dah sampe,2
Lumayanlah walaupun bisa dibilang agak kecil,2
Kecepatan pengiriman standar.,2
"Semoga awet,.. maaf lambat konfirmasi penerimaan a",2
Kualitas produk standar. Harga produk standar.,2
Sesuai dengan harga yang murah,2
Lumayanlah walaupun bisa dibilang agak kecil,2
barang sudah sampai gan,2
Produk dikirim lengkap sesuai deskripsi,2
"Packing rapih, fungsinya oke, lumayan buat harga segitu.",2
Unit sudah diterima dengan baik,2
Sementara ini tidak ada kendala .. belum tau ke depannya .. smoga tdk ada kendala atau kerusakan ..,2
Pengiriman cepat dan harga sesuai barang,2
barang sudah diterima sesuai pesanan,2
Barang diterima kondisi normal... Dus normal... Packing bagus..,2
"Respon cepat, packing rapi, dan bagus",2
Sesuai deskripsilah..moga awet,2
"barang bagus,pelayanan baik,recommended banget beli disini,thks",2
"Lumayan Puas, Sih...",2
Lumayan barang sesuai pesanan packing lumayan tebal bubble wrap pengiriman cpt,2
Saya Puas saya kira tombol powernya untuk memutus arus output ternyata untuk lampu led tp brang bagus sesuai pesanan mudhan tetap thn walau tak ada power on off output,2
Ok dpt harga mumer kualitas baik,2
Barang sampai on time dan sepertinya lumayan Semoga awet dan enak dipakai,2
"Dalam transaksi yang saya lakukan, sebaiknya saller berkoordinasi dengan pihak kurir terkait barang yang akan di kirim. Bila kurir akan tutup dalam jangka waktu yang lumayan lama ada baiknya sampaikan ke buyer bahwa kurir akan tutup dan akan buka kembali pada.... Sehingga buyer dapat memutuskan apakah akan tetap melanjutkan transaksi ataukah akan mencari saller lain yang rentang waktu pengirimannya bisa memenuhi keinginan buyer. Sebagai saller kita jangan takut kehilangan konsumen dan menerima semua order lantas bila ada keterlambatan semua dikembalikan ke kurir. Jadilah buyer yang bijak sehingga saat buyer memutuskan membeli product tetap tau konsekwensi keterlambatan pesanannya karena apa (telah mendapatkan informasi diawal). Ini hanya miskom saja semoga kedepannya tidak terjadi lagi.... All cukup puas dengan respon dan productnya good luck.",2
Agak lama karena saya salah memasukan kode pos...tp bukan masalah yang berarti Yg jelas cepat proses pengirimannya Ajaib!!!!!,2
"Kualitas standar, sesuai yg diharapkan",2
Dari 6 barang yg ini packingnya kurang rapi dan lama sampai.untung sajah tasnya bagussss terobati dechhh,2
"difto bgusss....bnget kya mwah,aslinya biasa aja,tp y lmyanlah,sesuai hrgaaa.....",2
"barang sudah terima, terima kasih, packing rapih, cuma agak kesel aja pesan hitam datang silver",2
"Barang biasa aja, seller bagus, packing mantap",2
Pengirimnya cukup lamaaa tapi Barangnya the best,2
Barang oke. Pengirimannya tolong ditingkatkan. Overall udah bagus.,2
"Overall barang baik sesuai gambar dan sesuai pesanan. Walaupun pengiriman lambat dr tnggal 14 baru nyampe hari ini , mudah2an tdk terjadi utk costumer lain . Skali lagi barang bagus sesuai gambar.",2
Lumayan lah buat harga yg segitu dengan barang yg ya lumayan,2
"Seller ga bales chat, diem seribu bahasa, tau2 barang sampe aja ",2
Kualitas produk sangat baik. Produk original. Harga produk sangat baik. Kecepatan pengiriman kurang baik. Respon penjual standar.,2
Mantap lah untuk barang nya..meski respon penjual nya kurang + pengiriman nya agak lambat,2
Sepatu nya bagus sihh harga nya juga pas flash sale juga lumayan tapi saya beli nomer 41 kok kecil yh nggak kaya sepatu nomer 41 yg laen kaya nomer 41 nya kecil gitu tapi bagus saya suka ?? kungkinan nggak bakalan saya pake soal nya kecil Oh iyh untuk pengiriman nya cepat dari bandung ke jakarta,2
"Tidak sesuai dengan gambar Tapi sesuai sama hargalah. Ada harga, ada kualitas.",2
"saya gk tau nih bahan nya kya agak beda tp bgus kok,,,ap lgi dgn hrga yg bnr kompetitif",2
Tidak mengecawakn... Sesuai harganya,2
"Celana ini juga g kalah bagusnya. Sesuai dgn harga.. sedikit masukan aja. Kalau kamu biasa pakai ukuran M , sebaiknya pesan ukuran L aja biar g sempit.",2
"Barang aman namun pihak xiaomi/shopee terlalu lama dalam pengecekan sehingga barang sampai dihari ketiga, lebih ditingkatkan kecepatan kerja nya!!",2
Barangnya hilang di J&T. Untungnya digantiin sama mereka,2
Semua sesuai dengan deskrips,3
"Pesanan sudah terima, makasih gan",3
Barang sampai dengan selamat dan packing rapi,3
Makasih barang sudah sampai ,3
"Sesuai deskripsi, bekerja dengan baik. Semoga awet",3
Trima kasih barang cukuplah ,3
"Kecepatan pengiriman baik, harga produk lumayan, kualitas produk biasa saja, penjual cukup baik ",3
bagus dan sesuai dengan kriteria,3
"Barang sudah sampai, okeh sesuai harga",3
"Respon cepat, packing rapi, dan bagus",3
produk dalam kondisi bagus dan baik,3
Produk Berfungsi dengan baik,3
"Boleh lah boleh, mantap semoga sukses dan lebih berkembang. ",3
"Siip, barang bagus dan cepat sampai....semoga lancar untuk digunakan",3
Cepat pengirimannya dan barang bagus,3
"pengiriman tepat waktu, barang kondisi ok",3
"Produk sesuai pesanan, semoga awet",3
"Respon cepat, pengiriman cepat",3
Produk sesuai sama deskripsi... Mantap lah pokoknya,3
"Barang sudah sampai, packing rapih. Semoga barang awet dan tidak bermasalah. Terimakasih",3
"Barang, bagus, dah dicoba hasilnya bagus, respon penjual baik, mau bantu",3
"alhamdulillah barang berjalan dengan baik,, terima kasih",3
"Diproses cepat, secepat dengan respon dari sellernya. Kualitas barangnya bagus. Good job. Terima kasih.",3
"Sesuai deskripsi produk yang dijual, seller nya profesional.. pengiriman ngga pake lama 3 jam kemudian udah nyampe",3
"Barang bagus, sudah di coba dan berfungsi dengan baik. Respon penjual cepat. Pengiriman tepat waktu. Trims",3
Pengiriman cepat .rekomended seller,3
Barang da di terima sya puas ,3
"Sesuai dgn pesanan, dan di terima dgn baik. Pengiriman cepat. ",3
cepat dan tepat mudah2an jadi langganan,3
barangnya hr ini uda di terima..packing bagus dn oke kondisinya..mksh,3
"murah meriah, mudah2an awet yaa barangnya",3
Produk sesuai dengan deskripsi kualitas oke respon cepat,3
Mantab Abis Dah Pokoknya,3
Produk yang diterima sesuai sip,3
"Product sesuai pesanan, kualitas bagus dan pengiriman juga cepat. Thanks",3
"Termurah dengan ulasan terbanyak se jabodetabek, terbukti dengan pengiriman yang cepat serta pelayanan diskusi yang cepat dan informatif. Top",3
Puas banget belanja disini. Order siang malem nya udah sampe. Keren euy. Barang nya juga ok. Makasih ka,3
"Produk begitu sampai lgs saya coba dan berfungsi dengan baik, semoga awet",3
Kualitas produk baik. Produk original. Harga produk baik. Respon penjual baik.,3
Top  barang sesuai pesanan packing tebal aman semoga awet ya min,3
barang sesuai kiriman cepaat. harga bersaing top dehh,3
Pedagang jujur semoga berkah,3
Maaf bru kasih testi sengaja biar tau dlu hasilnya ternyta perfect bgt 5 hari pakai wajah udh langsung kliatan cerah Flek Hitam kini sudah mulai menghilang jd pengen beli lagi yg 120ml biar lamaan pakenya hehehee,3
meski ragu awalnya tapi setelah mencoba hasilnya luar biasa 5 hari pakai bukan cuma Flek Hitam yang hilang wajah makin halus lebih kinclong dan kencang recomendeddd reseller,3
Seller ini recommended banget Fast response dan packing rapih TOP,3
Worth lah buat harga segitu enak juga dipake semoga awet yaa,3
aku sukak bgt baguss syekaleee,3
Puas dengan barangnya dan pelapak melayani konsumen dengan baik,3
